year,partner_code,partner,value,share_pct,rank,basis
2003,528,Países Baixos,2568398,38.745,1,direct
2003,620,Portugal,2415750,36.443,2,direct
2003,56,Bélgica,995681,15.02,3,direct
2003,251,França,256443,3.869,4,direct
2003,842,EUA,192448,2.903,5,direct
2003,24,Angola,108781,1.641,6,direct
2003,710,África do Sul,58215,0.878,7,direct
2003,266,Gabão,18366,0.277,8,direct
2003,392,Japão,10315,0.156,9,direct
2003,566,Nigéria,4398,0.066,10,direct
2003,528,Países Baixos,2971738,22.008,1,mirror
2003,124,Canadá,1957476,14.497,2,mirror
2003,251,França,1257640,9.314,3,mirror
2003,704,Vietname,1235829,9.152,4,mirror
2003,40,Áustria,1065647,7.892,5,mirror
2003,276,Alemanha,1014000,7.509,6,mirror
2003,608,Filipinas,926684,6.863,7,mirror
2003,56,Bélgica,655747,4.856,8,mirror
2003,620,Portugal,339071,2.511,9,mirror
2003,231,Etiópia,323856,2.398,10,mirror
2004,528,Países Baixos,1834384,51.628,1,direct
2004,620,Portugal,910414,25.623,2,direct
2004,56,Bélgica,335788,9.451,3,direct
2004,266,Gabão,148353,4.175,4,direct
2004,251,França,86317,2.429,5,direct
2004,724,Espanha,68692,1.933,6,direct
2004,24,Angola,63762,1.795,7,direct
2004,566,Nigéria,38818,1.093,8,direct
2004,328,Guyana,34950,0.984,9,direct
2004,710,África do Sul,25265,0.711,10,direct
2004,528,Países Baixos,2990185,23.036,1,mirror
2004,251,França,2205504,16.991,2,mirror
2004,156,China,1337546,10.304,3,mirror
2004,56,Bélgica,782331,6.027,4,mirror
2004,276,Alemanha,685000,5.277,5,mirror
2004,616,Polónia,554223,4.27,6,mirror
2004,231,Etiópia,485531,3.74,7,mirror
2004,76,Brasil,428240,3.299,8,mirror
2004,484,México,400130,3.083,9,mirror
2004,620,Portugal,341857,2.634,10,mirror
2005,620,Portugal,1332161,38.994,1,direct
2005,528,Países Baixos,1315625,38.509,2,direct
2005,56,Bélgica,369610,10.819,3,direct
2005,24,Angola,137053,4.012,4,direct
2005,392,Japão,80422,2.354,5,direct
2005,251,França,63159,1.849,6,direct
2005,566,Nigéria,51468,1.507,7,direct
2005,226,Guiné Equatorial,26496,0.776,8,direct
2005,276,Alemanha,22578,0.661,9,direct
2005,266,Gabão,13991,0.41,10,direct
2005,528,Países Baixos,2079823,17.166,1,mirror
2005,251,França,1893783,15.63,2,mirror
2005,56,Bélgica,1833563,15.133,3,mirror
2005,792,Turquia,1105842,9.127,4,mirror
2005,410,Coreia do Sul,807166,6.662,5,mirror
2005,724,Espanha,734527,6.062,6,mirror
2005,276,Alemanha,574000,4.738,7,mirror
2005,214,República Dominicana,345186,2.849,8,mirror
2005,484,México,342435,2.826,9,mirror
2005,620,Portugal,317534,2.621,10,mirror
2006,620,Portugal,1294746,33.422,1,direct
2006,528,Países Baixos,1044054,26.951,2,direct
2006,56,Bélgica,551613,14.239,3,direct
2006,251,França,366940,9.472,4,direct
2006,899,"Areas, nes",319636,8.251,5,direct
2006,44,Bahamas,108917,2.812,6,direct
2006,24,Angola,60480,1.561,7,direct
2006,120,Camarões,56390,1.456,8,direct
2006,566,Nigéria,36903,0.953,9,direct
2006,258,French Polynesia,16991,0.439,10,direct
2006,724,Espanha,6389671,30.056,1,mirror
2006,528,Países Baixos,3349291,15.754,2,mirror
2006,251,França,2144476,10.087,3,mirror
2006,736,Sudan (...2011),2075571,9.763,4,mirror
2006,484,México,1958578,9.213,5,mirror
2006,56,Bélgica,1846468,8.685,6,mirror
2006,620,Portugal,889090,4.182,7,mirror
2006,40,Áustria,294438,1.385,8,mirror
2006,616,Polónia,280879,1.321,9,mirror
2006,752,Suécia,245092,1.153,10,mirror
2007,620,Portugal,2310768,34.34,1,direct
2007,24,Angola,2291432,34.053,2,direct
2007,251,França,682042,10.136,3,direct
2007,56,Bélgica,678298,10.08,4,direct
2007,528,Países Baixos,512674,7.619,5,direct
2007,266,Gabão,92331,1.372,6,direct
2007,899,"Areas, nes",67832,1.008,7,direct
2007,144,Sri Lanka,39130,0.582,8,direct
2007,724,Espanha,20057,0.298,9,direct
2007,226,Guiné Equatorial,11942,0.177,10,direct
2007,251,França,3163671,26.463,1,mirror
2007,56,Bélgica,2027702,16.961,2,mirror
2007,214,República Dominicana,1907598,15.956,3,mirror
2007,528,Países Baixos,936061,7.83,4,mirror
2007,40,Áustria,714432,5.976,5,mirror
2007,724,Espanha,441951,3.697,6,mirror
2007,842,EUA,417442,3.492,7,mirror
2007,620,Portugal,303229,2.536,8,mirror
2007,410,Coreia do Sul,231926,1.94,9,mirror
2007,203,Chéquia,192945,1.614,10,mirror
2008,24,Angola,4999273,47.021,1,direct
2008,620,Portugal,2825721,26.578,2,direct
2008,528,Países Baixos,1584887,14.907,3,direct
2008,56,Bélgica,445107,4.187,4,direct
2008,251,França,385346,3.624,5,direct
2008,44,Bahamas,167469,1.575,6,direct
2008,266,Gabão,102032,0.96,7,direct
2008,144,Sri Lanka,24944,0.235,8,direct
2008,899,"Areas, nes",18196,0.171,9,direct
2008,566,Nigéria,18175,0.171,10,direct
2008,24,Angola,2844390,22.67,1,mirror
2008,56,Bélgica,2508365,19.992,2,mirror
