year,partner_code,partner,value,share_pct,rank,basis
2003,620,Portugal,25839477,63.28,1,direct
2003,56,Bélgica,4677835,11.456,2,direct
2003,24,Angola,4213562,10.319,3,direct
2003,392,Japão,2581595,6.322,4,direct
2003,266,Gabão,858636,2.103,5,direct
2003,251,França,604810,1.481,6,direct
2003,120,Camarões,355327,0.87,7,direct
2003,276,Alemanha,255252,0.625,8,direct
2003,710,África do Sul,208083,0.51,9,direct
2003,528,Países Baixos,202054,0.495,10,direct
2003,620,Portugal,28688462,49.488,1,mirror
2003,276,Alemanha,6781000,11.697,2,mirror
2003,380,Itália,3194090,5.51,3,mirror
2003,56,Bélgica,3044346,5.252,4,mirror
2003,528,Países Baixos,2427189,4.187,5,mirror
2003,251,França,2241087,3.866,6,mirror
2003,699,Índia,2014683,3.475,7,mirror
2003,842,EUA,1394508,2.406,8,mirror
2003,826,Reino Unido,749489,1.293,9,mirror
2003,616,Polónia,647000,1.116,10,mirror
2004,620,Portugal,25180951,60.774,1,direct
2004,24,Angola,6478640,15.636,2,direct
2004,56,Bélgica,3698307,8.926,3,direct
2004,392,Japão,2522294,6.088,4,direct
2004,266,Gabão,462803,1.117,5,direct
2004,704,Vietname,356886,0.861,6,direct
2004,528,Países Baixos,354890,0.857,7,direct
2004,899,"Areas, nes",322417,0.778,8,direct
2004,360,Indonésia,233353,0.563,9,direct
2004,251,França,215213,0.519,10,direct
2004,620,Portugal,29820020,49.381,1,mirror
2004,276,Alemanha,5643000,9.345,2,mirror
2004,842,EUA,3707514,6.14,3,mirror
2004,528,Países Baixos,2949760,4.885,4,mirror
2004,710,África do Sul,2561593,4.242,5,mirror
2004,56,Bélgica,2432610,4.028,6,mirror
2004,392,Japão,2093104,3.466,7,mirror
2004,251,França,2037119,3.373,8,mirror
2004,862,Venezuela,890917,1.475,9,mirror
2004,266,Gabão,800698,1.326,10,mirror
2005,620,Portugal,28415949,56.991,1,direct
2005,24,Angola,10175618,20.408,2,direct
2005,392,Japão,3554960,7.13,3,direct
2005,56,Bélgica,3072252,6.162,4,direct
2005,704,Vietname,1443842,2.896,5,direct
2005,490,Taiwan (Prov. China),366374,0.735,6,direct
2005,76,Brasil,338221,0.678,7,direct
2005,360,Indonésia,308714,0.619,8,direct
2005,266,Gabão,289779,0.581,9,direct
2005,792,Turquia,192315,0.386,10,direct
2005,620,Portugal,27833712,39.372,1,mirror
2005,24,Angola,10658594,15.077,2,mirror
2005,842,EUA,10153283,14.362,3,mirror
2005,458,Malásia,3616582,5.116,4,mirror
2005,56,Bélgica,3186798,4.508,5,mirror
2005,528,Países Baixos,1923954,2.721,6,mirror
2005,251,França,1555303,2.2,7,mirror
2005,266,Gabão,1367594,1.935,8,mirror
2005,826,Reino Unido,1265818,1.791,9,mirror
2005,784,Emirados Árabes Unidos,911609,1.29,10,mirror
2006,620,Portugal,46036024,64.716,1,direct
2006,24,Angola,14188162,19.945,2,direct
2006,56,Bélgica,3114673,4.379,3,direct
2006,899,"Areas, nes",702769,0.988,4,direct
2006,704,Vietname,623442,0.876,5,direct
2006,528,Países Baixos,558599,0.785,6,direct
2006,566,Nigéria,549349,0.772,7,direct
2006,251,França,529132,0.744,8,direct
2006,842,EUA,524793,0.738,9,direct
2006,208,Dinamarca,493005,0.693,10,direct
2006,620,Portugal,35060020,39.197,1,mirror
2006,24,Angola,16994194,19.0,2,mirror
2006,251,França,14157731,15.828,3,mirror
2006,56,Bélgica,3762059,4.206,4,mirror
2006,842,EUA,3709233,4.147,5,mirror
2006,528,Países Baixos,2452379,2.742,6,mirror
2006,266,Gabão,1472523,1.646,7,mirror
2006,458,Malásia,1266441,1.416,8,mirror
2006,36,Austrália,1250457,1.398,9,mirror
2006,156,China,1217928,1.362,10,mirror
2007,620,Portugal,54761478,68.953,1,direct
2007,24,Angola,15648327,19.704,2,direct
2007,56,Bélgica,1592819,2.006,3,direct
2007,528,Países Baixos,1149063,1.447,4,direct
2007,266,Gabão,779922,0.982,5,direct
2007,156,China,762031,0.96,6,direct
2007,360,Indonésia,574630,0.724,7,direct
2007,784,Emirados Árabes Unidos,549118,0.691,8,direct
2007,76,Brasil,513058,0.646,9,direct
2007,208,Dinamarca,440899,0.555,10,direct
2007,620,Portugal,45139715,41.942,1,mirror
2007,24,Angola,32782116,30.46,2,mirror
2007,842,EUA,8414824,7.819,3,mirror
2007,56,Bélgica,2841594,2.64,4,mirror
2007,528,Países Baixos,2232213,2.074,5,mirror
2007,76,Brasil,2149926,1.998,6,mirror
2007,156,China,1796699,1.669,7,mirror
2007,266,Gabão,1643668,1.527,8,mirror
2007,251,França,1379060,1.281,9,mirror
2007,699,Índia,1161349,1.079,10,mirror
2008,620,Portugal,69899871,61.291,1,direct
2008,24,Angola,26115648,22.899,2,direct
2008,266,Gabão,3369820,2.955,3,direct
2008,566,Nigéria,2554117,2.24,4,direct
2008,764,Tailândia,2203397,1.932,5,direct
2008,56,Bélgica,1922351,1.686,6,direct
2008,899,"Areas, nes",1242900,1.09,7,direct
2008,76,Brasil,1079594,0.947,8,direct
2008,156,China,1029203,0.902,9,direct
2008,392,Japão,910960,0.799,10,direct
2008,620,Portugal,53580652,43.829,1,mirror
2008,24,Angola,25116313,20.545,2,mirror
2008,392,Japão,9088707,7.435,3,mirror
2008,56,Bélgica,9044822,7.399,4,mirror
2008,842,EUA,3268944,2.674,5,mirror
2008,528,Países Baixos,2758542,2.256,6,mirror
2008,266,Gabão,1947815,1.593,7,mirror
2008,156,China,1887730,1.544,8,mirror
2008,251,França,1714085,1.402,9,mirror
2008,76,Brasil,1166554,0.954,10,mirror
