year,hs6,description_pt,value,share_pct,rank,basis
2003,180100,Cacau,6177326,93.188,1,direct
2003,843039,Coal or rock cutters and tunnelling machinery; not self-propelled,41065,0.619,2,direct
2003,080119,"Cocos, castanhas de caju e nozes",40683,0.614,3,direct
2003,842951,Front-end shovel loaders,37141,0.56,4,direct
2003,842920,Graders and levellers,34982,0.528,5,direct
2003,870333,Automóveis de passageiros,24482,0.369,6,direct
2003,392690,Plastics; other articles n.e.c. in chapter 39,23912,0.361,7,direct
2003,151319,"Vegetable oils; coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified",22468,0.339,8,direct
2003,842940,Tamping machines and road rollers; self-propelled,21293,0.321,9,direct
2003,842919,"Bulldozers and angledozers; self-propelled, other than track laying",20787,0.314,10,direct
2003,180100,Cacau,7679683,56.874,1,mirror
2003,870332,Automóveis de passageiros,80678,0.597,2,mirror
2003,151311,"Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified",80451,0.596,3,mirror
2003,870323,Automóveis de passageiros,57225,0.424,4,mirror
2003,999999,Commodities not specified according to kind,46679,0.346,5,mirror
2003,880330,880330,2586,0.019,6,mirror
2003,903300,"Machines and appliances, instruments or apparatus of chapter 90; parts and accessories n.e.c. in chapter 90",102,0.001,7,mirror
2003,180610,"Cocoa; powder, containing added sugar or other sweetening matter",10,0.0,8,mirror
2004,180100,Cacau,3192216,89.844,1,direct
2004,080119,"Cocos, castanhas de caju e nozes",83765,2.358,2,direct
2004,730799,"Iron or steel; tube or pipe fittings, n.e.c. in item no. 7307.9, other than stainless steel",67640,1.904,3,direct
2004,151319,"Vegetable oils; coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified",28299,0.796,4,direct
2004,820520,"Tools, hand; hammers and sledge hammers",20162,0.567,5,direct
2004,890399,"Vessels; (other than sailboats and motorboats), for pleasure or sports, other than inflatable, of a length exceeding 7.5m",15625,0.44,6,direct
2004,820559,"Tools, hand; other hand tools (including glaziers diamonds), excluding household tools, drilling, threading or tapping tools, hammers and sledge hammers, planes, chisels, gouges and similar cutting tools for working wood, and screwdrivers",14667,0.413,7,direct
2004,220830,Whiskies,13246,0.373,8,direct
2004,870323,Automóveis de passageiros,12588,0.354,9,direct
2004,391721,"Plastics; tubes, pipes and hoses thereof, rigid, of polymers of ethylene",11454,0.322,10,direct
2004,180100,Cacau,5066014,39.028,1,mirror
2004,870333,Automóveis de passageiros,150366,1.158,2,mirror
2004,151311,"Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified",88512,0.682,3,mirror
2004,870323,Automóveis de passageiros,44288,0.341,4,mirror
2004,999999,Commodities not specified according to kind,27041,0.208,5,mirror
2004,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,25133,0.194,6,mirror
2004,870332,Automóveis de passageiros,10349,0.08,7,mirror
2004,080119,"Cocos, castanhas de caju e nozes",3385,0.026,8,mirror
2004,080111,"Cocos, castanhas de caju e nozes",2930,0.023,9,mirror
2004,180610,"Cocoa; powder, containing added sugar or other sweetening matter",2890,0.022,10,mirror
2005,180100,Cacau,3033139,88.783,1,direct
2005,080119,"Cocos, castanhas de caju e nozes",95712,2.802,2,direct
2005,870333,Automóveis de passageiros,54552,1.597,3,direct
2005,151319,"Vegetable oils; coconut (copra) oil and its fractions, other than crude, whether or not refined, but not chemically modified",34222,1.002,4,direct
2005,150790,Óleo de soja,26496,0.776,5,direct
2005,850300,Electric motors and generators; parts suitable for use solely or principally with the machines of heading no. 8501 or 8502,24577,0.719,6,direct
2005,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,11593,0.339,7,direct
2005,870332,Automóveis de passageiros,10929,0.32,8,direct
2005,880310,880310,10035,0.294,9,direct
2005,090190,Café,9960,0.292,10,direct
2005,180100,Cacau,5669402,46.792,1,mirror
2005,999999,Commodities not specified according to kind,268755,2.218,2,mirror
2005,151311,"Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified",111335,0.919,3,mirror
2005,870323,Automóveis de passageiros,85521,0.706,4,mirror
2005,870332,Automóveis de passageiros,31818,0.263,5,mirror
2005,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",28292,0.234,6,mirror
2005,080111,"Cocos, castanhas de caju e nozes",9003,0.074,7,mirror
2005,180610,"Cocoa; powder, containing added sugar or other sweetening matter",2500,0.021,8,mirror
2006,180100,Cacau,3392892,87.582,1,direct
2006,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,109560,2.828,2,direct
2006,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",56563,1.46,3,direct
2006,220300,Cerveja,54077,1.396,4,direct
2006,220410,Vinho,51411,1.327,5,direct
2006,080119,"Cocos, castanhas de caju e nozes",35267,0.91,6,direct
2006,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,17975,0.464,7,direct
2006,870332,Automóveis de passageiros,17201,0.444,8,direct
2006,441820,441820,16779,0.433,9,direct
2006,060310,060310,15934,0.411,10,direct
2006,180100,Cacau,6796741,31.971,1,mirror
2006,870333,Automóveis de passageiros,92478,0.435,2,mirror
2006,151311,"Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified",68560,0.322,3,mirror
2006,870323,Automóveis de passageiros,33029,0.155,4,mirror
2006,080111,"Cocos, castanhas de caju e nozes",25220,0.119,5,mirror
2006,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",23270,0.109,6,mirror
2006,880330,880330,23000,0.108,7,mirror
2006,999999,Commodities not specified according to kind,21178,0.1,8,mirror
2006,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,17163,0.081,9,mirror
2006,901580,"Surveying equipment; articles n.e.c. in heading no. 9015, including hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances (excluding compasses)",6569,0.031,10,mirror
2007,180100,Cacau,3512592,52.201,1,direct
2007,271000,Combustíveis refinados,2243883,33.346,2,direct
2007,840310,Boilers; central heating boilers (excluding those of heading no. 8402),291476,4.332,3,direct
2007,842940,Tamping machines and road rollers; self-propelled,45891,0.682,4,direct
2007,870333,Automóveis de passageiros,44729,0.665,5,direct
2007,870332,Automóveis de passageiros,42861,0.637,6,direct
2007,850239,"Electric generating sets; (excluding those with spark-ignition or compression-ignition internal combustion piston engines), other than wind powered",35114,0.522,7,direct
2007,180631,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less",34780,0.517,8,direct
2007,842890,"Lifting, handling, loading or unloading machinery; n.e.c. in heading no. 8425, 8426, 8427 or 8428",34293,0.51,9,direct
2007,180620,"Chocolate & other food preparations containing cocoa; in blocks, slabs or bars weighing more than 2kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, content exceeding 2kg",32520,0.483,10,direct
2007,180100,Cacau,4911485,41.082,1,mirror
2007,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",90661,0.758,2,mirror
2007,870332,Automóveis de passageiros,74116,0.62,3,mirror
2007,870323,Automóveis de passageiros,66927,0.56,4,mirror
2007,999999,Commodities not specified according to kind,50611,0.423,5,mirror
2007,080119,"Cocos, castanhas de caju e nozes",46403,0.388,6,mirror
2007,151311,"Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified",44810,0.375,7,mirror
2007,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,34328,0.287,8,mirror
2007,880330,880330,9484,0.079,9,mirror
2007,080111,"Cocos, castanhas de caju e nozes",4305,0.036,10,mirror
2008,180100,Cacau,5040756,47.411,1,direct
2008,271000,Combustíveis refinados,4945460,46.515,2,direct
2008,870333,Automóveis de passageiros,109002,1.025,3,direct
2008,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,90726,0.853,4,direct
2008,843319,"Mowers; for lawns, parks or sports-grounds, other than with the cutting device rotating in a horizontal plane",32506,0.306,5,direct
2008,732690,Iron or steel; articles n.e.c. in heading 7326,32493,0.306,6,direct
2008,853630,"Electrical apparatus; for protecting electrical circuits, n.e.c. in heading no. 8536, for a voltage not exceeding 1000 volts",30896,0.291,7,direct
2008,841440,Compressors; air compressors mounted on a wheeled chassis for towing,23889,0.225,8,direct
2008,731100,"Containers for compressed or liquefied gas, of iron or steel",16956,0.159,9,direct
2008,080111,"Cocos, castanhas de caju e nozes",15997,0.15,10,direct
2008,180100,Cacau,5981703,47.675,1,mirror
2008,870323,Automóveis de passageiros,89682,0.715,2,mirror
2008,180632,"Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, (not filled), weighing 2kg or less",82752,0.66,3,mirror
2008,999999,Commodities not specified according to kind,75950,0.605,4,mirror
2008,720410,Ferrous waste and scrap; of cast iron,64042,0.51,5,mirror
2008,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,47458,0.378,6,mirror
2008,151311,"Vegetable oils; coconut (copra) oil and its fractions, crude, not chemically modified",23789,0.19,7,mirror
2008,870333,Automóveis de passageiros,11906,0.095,8,mirror
2008,880330,880330,10413,0.083,9,mirror
2008,870332,Automóveis de passageiros,2697,0.021,10,mirror
2009,180100,Cacau,5494294,67.692,1,direct
2009,271000,Combustíveis refinados,1850595,22.8,2,direct
2009,999999,Commodities not specified according to kind,238527,2.939,3,direct
2009,180690,Chocolate and other food preparations containing cocoa; n.e.c. in chapter 18,122891,1.514,4,direct
2009,080111,"Cocos, castanhas de caju e nozes",81519,1.004,5,direct
2009,870323,Automóveis de passageiros,32692,0.403,6,direct
2009,940380,940380,25761,0.317,7,direct
