year,hs6,description_pt,value,share_pct,rank,basis
2003,271000,Combustíveis refinados,4224204,10.345,1,direct
2003,220421,Vinho,2245403,5.499,2,direct
2003,252329,"Cement; portland, other than white, whether or not artificially coloured",1569828,3.844,3,direct
2003,150790,Óleo de soja,1234512,3.023,4,direct
2003,100620,Arroz,1226904,3.005,5,direct
2003,220300,Cerveja,1208468,2.959,6,direct
2003,110100,Wheat or meslin flour,1071216,2.623,7,direct
2003,870321,Automóveis de passageiros,1009180,2.471,8,direct
2003,220210,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured",787461,1.928,9,direct
2003,870421,Veículos de mercadorias,567067,1.389,10,direct
2003,271011,Combustíveis refinados,2447616,4.222,1,mirror
2003,220421,Vinho,2051400,3.539,2,mirror
2003,252329,"Cement; portland, other than white, whether or not artificially coloured",1232099,2.125,3,mirror
2003,110100,Wheat or meslin flour,1196585,2.064,4,mirror
2003,999999,Commodities not specified according to kind,1068703,1.844,5,mirror
2003,150790,Óleo de soja,919069,1.585,6,mirror
2003,220300,Cerveja,756826,1.306,7,mirror
2003,340119,"Soap and organic surface-active products; in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, not for toilet use",678736,1.171,8,mirror
2003,220210,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured",530741,0.916,9,mirror
2003,220290,220290,519915,0.897,10,mirror
2004,271000,Combustíveis refinados,6022211,14.535,1,direct
2004,110100,Wheat or meslin flour,1949666,4.705,2,direct
2004,220421,Vinho,1821687,4.397,3,direct
2004,252329,"Cement; portland, other than white, whether or not artificially coloured",1613916,3.895,4,direct
2004,100620,Arroz,1320857,3.188,5,direct
2004,150790,Óleo de soja,1249410,3.015,6,direct
2004,220300,Cerveja,1081148,2.609,7,direct
2004,220210,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured",917270,2.214,8,direct
2004,870321,Automóveis de passageiros,917130,2.213,9,direct
2004,870323,Automóveis de passageiros,760064,1.834,10,direct
2004,999999,Commodities not specified according to kind,1906279,3.157,1,mirror
2004,220421,Vinho,1839292,3.046,2,mirror
2004,252329,"Cement; portland, other than white, whether or not artificially coloured",1685321,2.791,3,mirror
2004,110100,Wheat or meslin flour,1539438,2.549,4,mirror
2004,150790,Óleo de soja,1179049,1.952,5,mirror
2004,220290,220290,773524,1.281,6,mirror
2004,220300,Cerveja,704766,1.167,7,mirror
2004,630900,"Clothing; worn, and other worn articles",675754,1.119,8,mirror
2004,340119,"Soap and organic surface-active products; in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, not for toilet use",611279,1.012,9,mirror
2004,100630,Arroz,611146,1.012,10,mirror
2005,271000,Combustíveis refinados,9956948,19.97,1,direct
2005,100620,Arroz,3375885,6.771,2,direct
2005,220421,Vinho,2591736,5.198,3,direct
2005,870321,Automóveis de passageiros,2363402,4.74,4,direct
2005,110100,Wheat or meslin flour,1857656,3.726,5,direct
2005,150790,Óleo de soja,1496823,3.002,6,direct
2005,220300,Cerveja,969577,1.945,7,direct
2005,220210,"Waters; including mineral and aerated, containing added sugar or other sweetening matter or flavoured",891269,1.788,8,direct
2005,340120,Soap; in forms n.e.c. in item no. 3401.11,874204,1.753,9,direct
2005,252310,Cement clinkers (whether or not coloured),732149,1.468,10,direct
2005,271011,Combustíveis refinados,10635781,15.045,1,mirror
2005,999999,Commodities not specified according to kind,6898759,9.759,2,mirror
2005,220421,Vinho,1709060,2.418,3,mirror
