year,basis,exports,imports,trade_volume,balance
2003,direct,6628901,40833591,47462492,-34204690
2003,mirror,13503048,57970761,71473809,-44467713
2004,direct,3553080,41433788,44986868,-37880708
2004,mirror,12980511,60387532,73368043,-47407021
2005,direct,3416365,49860404,53276769,-46444039
2005,mirror,12116087,70694759,82810846,-58578672
2006,direct,3873963,71135517,75009480,-67261554
2006,mirror,21259308,89445469,110704777,-68186161
2007,direct,6729006,79418250,86147256,-72689244
2007,mirror,11955247,107624830,119580077,-95669583
2008,direct,10631930,114045081,124677011,-103413151
2008,mirror,12546873,122249090,134795963,-109702217
2009,direct,8116665,103283149,111399814,-95166484
2009,mirror,18001730,128134929,146136659,-110133199
2010,direct,6381277,112152144,118533421,-105770867
2010,mirror,18385989,148107773,166493762,-129721784
2011,direct,11041542,133712481,144754023,-122670939
2011,mirror,16446737,165005371,181452108,-148558634
2012,direct,6047150,141253970,147301120,-135206820
2012,mirror,14233983,130133701,144367684,-115899718
2013,direct,6938258,152093663,159031921,-145155405
2013,mirror,10291018,135278949,145569967,-124987931
2014,direct,10497358,169715687,180213045,-159218329
2014,mirror,16332217,154273136,170605353,-137940919
2015,direct,9223182,141847245,151070427,-132624063
2015,mirror,14592668,134413695,149006363,-119821027
2016,direct,10473934,139352022,149825956,-128878088
2016,mirror,22428259,139054636,161482895,-116626377
2017,direct,10562590,147049579,157612169,-136486989
2017,mirror,14351291,135680114,150031405,-121328823
2018,direct,12087302,148305957,160393259,-136218655
2018,mirror,17090773,142828000,159918773,-125737227
2019,direct,9858888,147666945,157525833,-137808057
2019,mirror,23824225,147485567,171309792,-123661342
2020,direct,12439557,138041161,150480718,-125601604
2020,mirror,26585221,117870743,144455964,-91285522
2021,direct,19174845,166275006,185449851,-147100161
2021,mirror,30235975,132722967,162958942,-102486992
2022,direct,22588961,196299315,218888276,-173710354
2022,mirror,24323161,190840612,215163773,-166517451
2023,direct,16554568,183563238,200117806,-167008670
2023,mirror,58859324,172583383,231442707,-113724059
2024,direct,0,0,0,0
2024,mirror,49029178,157666689,206695867,-108637511
