year,partner_code,partner,hs6,description_pt,competitor_code,competitor,value,share_pct,rank,is_country,market_total
2003,156,China,090111,Café verde não descafeinado,704,Vietname,7661508,75.767,1,0,10111916
2003,156,China,090111,Café verde não descafeinado,360,Indonésia,900293,8.903,2,0,10111916
2003,156,China,090111,Café verde não descafeinado,76,Brasil,801948,7.931,3,0,10111916
2003,156,China,090111,Café verde não descafeinado,170,Colômbia,404608,4.001,4,0,10111916
2003,156,China,090111,Café verde não descafeinado,490,Taiwan (Prov. China),91053,0.9,5,0,10111916
2003,156,China,090190,Cascas de café e sucedâneos,702,Singapura,25980,64.414,1,0,40333
2003,156,China,090190,Cascas de café e sucedâneos,528,Países Baixos,7729,19.163,2,0,40333
2003,156,China,090190,Cascas de café e sucedâneos,380,Itália,2882,7.146,3,0,40333
2003,156,China,090190,Cascas de café e sucedâneos,704,Vietname,1600,3.967,4,0,40333
2003,156,China,090190,Cascas de café e sucedâneos,36,Austrália,1386,3.436,5,0,40333
2003,156,China,270900,Petróleo bruto,682,Arábia Saudita,3231945613,16.337,1,0,19782400604
2003,156,China,270900,Petróleo bruto,364,Irão,2635085866,13.32,2,0,19782400604
2003,156,China,270900,Petróleo bruto,24,Angola,2205654993,11.15,3,0,19782400604
2003,156,China,270900,Petróleo bruto,512,Omã,1978256687,10.0,4,0,19782400604
2003,156,China,270900,Petróleo bruto,887,Yemen,1520734722,7.687,5,0,19782400604
2003,156,China,271112,Propano liquefeito,682,Arábia Saudita,179297359,29.121,1,0,615692568
2003,156,China,271112,Propano liquefeito,784,Emirados Árabes Unidos,114216219,18.551,2,0,615692568
2003,156,China,271112,Propano liquefeito,414,Kuwait,70427754,11.439,3,0,615692568
2003,156,China,271112,Propano liquefeito,36,Austrália,50585580,8.216,4,0,615692568
2003,156,China,271112,Propano liquefeito,364,Irão,41488933,6.739,5,0,615692568
2003,156,China,271113,Butano liquefeito,682,Arábia Saudita,337718715,25.9,1,0,1303953038
2003,156,China,271113,Butano liquefeito,784,Emirados Árabes Unidos,168294982,12.907,2,0,1303953038
2003,156,China,271113,Butano liquefeito,458,Malásia,117602210,9.019,3,0,1303953038
2003,156,China,271113,Butano liquefeito,764,Tailândia,115610409,8.866,4,0,1303953038
2003,156,China,271113,Butano liquefeito,36,Austrália,76918268,5.899,5,0,1303953038
2003,156,China,630900,Vestuário usado,344,Hong Kong (RAEHK),543382,100.0,1,0,543382
2003,156,China,880212,Helicópteros +2.000 kg,251,França,18475969,83.485,1,0,22130846
2003,156,China,880212,Helicópteros +2.000 kg,842,EUA,3356877,15.168,2,0,22130846
2003,156,China,880212,Helicópteros +2.000 kg,643,Rússia,298000,1.347,3,0,22130846
2003,156,China,880330,Partes de aviões e helicópteros (ed. antiga),842,EUA,410809456,46.505,1,0,883359426
2003,156,China,880330,Partes de aviões e helicópteros (ed. antiga),643,Rússia,316537823,35.833,2,0,883359426
2003,156,China,880330,Partes de aviões e helicópteros (ed. antiga),251,França,51729895,5.856,3,0,883359426
2003,156,China,880330,Partes de aviões e helicópteros (ed. antiga),826,Reino Unido,25966248,2.939,4,0,883359426
2003,156,China,880330,Partes de aviões e helicópteros (ed. antiga),702,Singapura,16724289,1.893,5,0,883359426
2003,360,Indonésia,090111,Café verde não descafeinado,76,Brasil,1232143,32.792,1,0,3757412
2003,360,Indonésia,090111,Café verde não descafeinado,626,Timor-Leste,851582,22.664,2,1,3757412
2003,360,Indonésia,090111,Café verde não descafeinado,360,Indonésia,746281,19.862,3,0,3757412
2003,360,Indonésia,090111,Café verde não descafeinado,704,Vietname,338840,9.018,4,0,3757412
2003,360,Indonésia,090111,Café verde não descafeinado,702,Singapura,140949,3.751,5,0,3757412
2003,360,Indonésia,090111,Café verde não descafeinado,392,Japão,69853,1.859,6,0,3757412
2003,360,Indonésia,090190,Cascas de café e sucedâneos,458,Malásia,34631,32.565,1,0,106345
2003,360,Indonésia,090190,Cascas de café e sucedâneos,702,Singapura,28563,26.859,2,0,106345
2003,360,Indonésia,090190,Cascas de café e sucedâneos,764,Tailândia,22275,20.946,3,0,106345
2003,360,Indonésia,090190,Cascas de café e sucedâneos,36,Austrália,7127,6.702,4,0,106345
2003,360,Indonésia,090190,Cascas de café e sucedâneos,156,China,3344,3.144,5,0,106345
2003,360,Indonésia,270900,Petróleo bruto,682,Arábia Saudita,1206683832,29.962,1,0,4027366911
2003,360,Indonésia,270900,Petróleo bruto,566,Nigéria,860327248,21.362,2,0,4027366911
2003,360,Indonésia,270900,Petróleo bruto,156,China,360136448,8.942,3,0,4027366911
2003,360,Indonésia,270900,Petróleo bruto,458,Malásia,299547702,7.438,4,0,4027366911
2003,360,Indonésia,270900,Petróleo bruto,704,Vietname,258829337,6.427,5,0,4027366911
2003,360,Indonésia,271112,Propano liquefeito,458,Malásia,12375724,60.424,1,0,20481523
2003,360,Indonésia,271112,Propano liquefeito,702,Singapura,6136173,29.96,2,0,20481523
2003,360,Indonésia,271112,Propano liquefeito,764,Tailândia,1946713,9.505,3,0,20481523
2003,360,Indonésia,271112,Propano liquefeito,36,Austrália,19217,0.094,4,0,20481523
2003,360,Indonésia,271112,Propano liquefeito,826,Reino Unido,3556,0.017,5,0,20481523
2003,360,Indonésia,271113,Butano liquefeito,702,Singapura,915429,98.616,1,0,928280
2003,360,Indonésia,271113,Butano liquefeito,344,Hong Kong (RAEHK),10483,1.129,2,0,928280
2003,360,Indonésia,271113,Butano liquefeito,752,Suécia,1879,0.202,3,0,928280
2003,360,Indonésia,271113,Butano liquefeito,784,Emirados Árabes Unidos,351,0.038,4,0,928280
2003,360,Indonésia,271113,Butano liquefeito,36,Austrália,138,0.015,5,0,928280
2003,360,Indonésia,630900,Vestuário usado,757,Suíça,204387,23.579,1,0,866803
2003,360,Indonésia,630900,Vestuário usado,450,Madagáscar,115575,13.333,2,0,866803
2003,360,Indonésia,630900,Vestuário usado,528,Países Baixos,104221,12.024,3,0,866803
2003,360,Indonésia,630900,Vestuário usado,392,Japão,51998,5.999,4,0,866803
2003,360,Indonésia,630900,Vestuário usado,276,Alemanha,42577,4.912,5,0,866803
2003,360,Indonésia,880212,Helicópteros +2.000 kg,643,Rússia,654561,100.0,1,0,654561
2003,360,Indonésia,880330,Partes de aviões e helicópteros (ed. antiga),360,Indonésia,1115550,47.364,1,0,2355292
2003,360,Indonésia,880330,Partes de aviões e helicópteros (ed. antiga),702,Singapura,521666,22.149,2,0,2355292
2003,360,Indonésia,880330,Partes de aviões e helicópteros (ed. antiga),251,França,261293,11.094,3,0,2355292
2003,360,Indonésia,880330,Partes de aviões e helicópteros (ed. antiga),842,EUA,187469,7.959,4,0,2355292
2003,360,Indonésia,880330,Partes de aviões e helicópteros (ed. antiga),36,Austrália,76003,3.227,5,0,2355292
2003,392,Japão,090111,Café verde não descafeinado,170,Colômbia,121703967,22.573,1,0,539167709
2003,392,Japão,090111,Café verde não descafeinado,76,Brasil,116434594,21.595,2,0,539167709
2003,392,Japão,090111,Café verde não descafeinado,360,Indonésia,59024145,10.947,3,0,539167709
2003,392,Japão,090111,Café verde não descafeinado,320,Guatemala,48275997,8.954,4,0,539167709
2003,392,Japão,090111,Café verde não descafeinado,231,Etiópia,41066589,7.617,5,0,539167709
2003,392,Japão,090111,Café verde não descafeinado,626,Timor-Leste,60309,0.011,34,1,539167709
2003,392,Japão,090190,Cascas de café e sucedâneos,842,EUA,474340,100.0,1,0,474340
2003,392,Japão,270900,Petróleo bruto,682,Arábia Saudita,11769898169,25.623,1,0,45935429419
2003,392,Japão,270900,Petróleo bruto,784,Emirados Árabes Unidos,10964661690,23.87,2,0,45935429419
2003,392,Japão,270900,Petróleo bruto,364,Irão,7176339337,15.623,3,0,45935429419
2003,392,Japão,270900,Petróleo bruto,634,Catar,4335790767,9.439,4,0,45935429419
2003,392,Japão,270900,Petróleo bruto,414,Kuwait,3143989992,6.844,5,0,45935429419
2003,392,Japão,271112,Propano liquefeito,682,Arábia Saudita,1288536626,37.826,1,0,3406523676
2003,392,Japão,271112,Propano liquefeito,784,Emirados Árabes Unidos,760117885,22.314,2,0,3406523676
2003,392,Japão,271112,Propano liquefeito,414,Kuwait,350032271,10.275,3,0,3406523676
2003,392,Japão,271112,Propano liquefeito,634,Catar,247083234,7.253,4,0,3406523676
2003,392,Japão,271112,Propano liquefeito,364,Irão,165160960,4.848,5,0,3406523676
