year,partner_code,partner,hs6,description_pt,competitor_code,competitor,value,share_pct,rank,is_country,market_total
2003,156,China,020714,Carne de aves,392,Japão,104048689,41.674,1,0,249673846
2003,156,China,020714,Carne de aves,682,Arábia Saudita,47345278,18.963,2,0,249673846
2003,156,China,020714,Carne de aves,643,Rússia,23663822,9.478,3,0,249673846
2003,156,China,020714,Carne de aves,344,Hong Kong (RAEHK),16327030,6.539,4,0,249673846
2003,156,China,020714,Carne de aves,710,África do Sul,10524432,4.215,5,0,249673846
2003,156,China,020714,Carne de aves,626,Timor-Leste,11100,0.004,63,1,249673846
2003,156,China,100630,Arroz,384,Costa do Marfim,146527078,32.615,1,0,449267733
2003,156,China,100630,Arroz,643,Rússia,63127945,14.051,2,0,449267733
2003,156,China,100630,Arroz,392,Japão,35531343,7.909,3,0,449267733
2003,156,China,100630,Arroz,598,Papua New Guinea,28349821,6.31,4,0,449267733
2003,156,China,100630,Arroz,360,Indonésia,22735722,5.061,5,0,449267733
2003,156,China,100630,Arroz,626,Timor-Leste,31032,0.007,61,1,449267733
2003,156,China,100640,Arroz,598,Papua New Guinea,1596252,52.771,1,0,3024849
2003,156,China,100640,Arroz,392,Japão,1364342,45.104,2,0,3024849
2003,156,China,100640,Arroz,324,Guinea,48155,1.592,3,0,3024849
2003,156,China,100640,Arroz,643,Rússia,16100,0.532,4,0,3024849
2003,156,China,252329,Cimento,842,EUA,56546160,39.428,1,0,143414733
2003,156,China,252329,Cimento,410,Coreia do Sul,28102570,19.595,2,0,143414733
2003,156,China,252329,Cimento,344,Hong Kong (RAEHK),27894169,19.45,3,0,143414733
2003,156,China,252329,Cimento,490,Taiwan (Prov. China),12759741,8.897,4,0,143414733
2003,156,China,252329,Cimento,104,Myanmar,2418946,1.687,5,0,143414733
2003,156,China,271011,Combustíveis refinados,702,Singapura,583740911,24.743,1,0,2359246493
2003,156,China,271011,Combustíveis refinados,704,Vietname,426850126,18.093,2,0,2359246493
2003,156,China,271011,Combustíveis refinados,360,Indonésia,323690555,13.72,3,0,2359246493
2003,156,China,271011,Combustíveis refinados,392,Japão,254982163,10.808,4,0,2359246493
2003,156,China,271011,Combustíveis refinados,36,Austrália,160596228,6.807,5,0,2359246493
2003,156,China,271019,Combustíveis refinados,704,Vietname,283222088,20.71,1,0,1367566375
2003,156,China,271019,Combustíveis refinados,344,Hong Kong (RAEHK),250484004,18.316,2,0,1367566375
2003,156,China,271019,Combustíveis refinados,702,Singapura,123354003,9.02,3,0,1367566375
2003,156,China,271019,Combustíveis refinados,392,Japão,100864400,7.375,4,0,1367566375
2003,156,China,271019,Combustíveis refinados,591,Panamá,100213637,7.328,5,0,1367566375
2003,156,China,871120,Motociclos,566,Nigéria,255706214,28.178,1,0,907473108
2003,156,China,871120,Motociclos,104,Myanmar,89109169,9.819,2,0,907473108
2003,156,China,871120,Motociclos,360,Indonésia,59973952,6.609,3,0,907473108
2003,156,China,871120,Motociclos,364,Irão,58320687,6.427,4,0,907473108
2003,156,China,871120,Motociclos,608,Filipinas,49940695,5.503,5,0,907473108
2003,156,China,871120,Motociclos,626,Timor-Leste,154243,0.017,99,1,907473108
2003,344,Hong Kong (RAEHK),020714,Carne de aves,156,China,346489667,96.115,1,0,360493772
2003,344,Hong Kong (RAEHK),020714,Carne de aves,446,Macau (RAEM),7171376,1.989,2,0,360493772
2003,344,Hong Kong (RAEHK),020714,Carne de aves,490,Taiwan (Prov. China),5283245,1.466,3,0,360493772
2003,344,Hong Kong (RAEHK),020714,Carne de aves,704,Vietname,863682,0.24,4,0,360493772
2003,344,Hong Kong (RAEHK),020714,Carne de aves,410,Coreia do Sul,606684,0.168,5,0,360493772
2003,344,Hong Kong (RAEHK),100630,Arroz,446,Macau (RAEM),1426936,49.591,1,0,2877403
2003,344,Hong Kong (RAEHK),100630,Arroz,156,China,629853,21.89,2,0,2877403
2003,344,Hong Kong (RAEHK),100630,Arroz,124,Canadá,514848,17.893,3,0,2877403
2003,344,Hong Kong (RAEHK),100630,Arroz,842,EUA,189857,6.598,4,0,2877403
2003,344,Hong Kong (RAEHK),100630,Arroz,862,Venezuela,50729,1.763,5,0,2877403
2003,344,Hong Kong (RAEHK),100640,Arroz,446,Macau (RAEM),7407,100.0,1,0,7407
2003,344,Hong Kong (RAEHK),252329,Cimento,156,China,622490,100.0,1,0,622490
2003,344,Hong Kong (RAEHK),271011,Combustíveis refinados,446,Macau (RAEM),18566729,79.63,1,0,23316339
2003,344,Hong Kong (RAEHK),271011,Combustíveis refinados,156,China,4706262,20.184,2,0,23316339
2003,344,Hong Kong (RAEHK),271011,Combustíveis refinados,490,Taiwan (Prov. China),43348,0.186,3,0,23316339
2003,344,Hong Kong (RAEHK),271019,Combustíveis refinados,156,China,198859419,67.583,1,0,294245636
2003,344,Hong Kong (RAEHK),271019,Combustíveis refinados,446,Macau (RAEM),81972384,27.858,2,0,294245636
2003,344,Hong Kong (RAEHK),271019,Combustíveis refinados,490,Taiwan (Prov. China),2741391,0.932,3,0,294245636
2003,344,Hong Kong (RAEHK),271019,Combustíveis refinados,704,Vietname,1417759,0.482,4,0,294245636
2003,344,Hong Kong (RAEHK),271019,Combustíveis refinados,410,Coreia do Sul,1130121,0.384,5,0,294245636
2003,344,Hong Kong (RAEHK),871120,Motociclos,704,Vietname,20996237,70.561,1,0,29756107
2003,344,Hong Kong (RAEHK),871120,Motociclos,392,Japão,4082827,13.721,2,0,29756107
2003,344,Hong Kong (RAEHK),871120,Motociclos,446,Macau (RAEM),1965165,6.604,3,0,29756107
2003,344,Hong Kong (RAEHK),871120,Motociclos,156,China,1442998,4.849,4,0,29756107
2003,344,Hong Kong (RAEHK),871120,Motociclos,466,Mali,238357,0.801,5,0,29756107
2003,360,Indonésia,020714,Carne de aves,392,Japão,4915778,100.0,1,0,4915778
2003,360,Indonésia,100630,Arroz,702,Singapura,135835,95.707,1,0,141928
2003,360,Indonésia,100630,Arroz,682,Arábia Saudita,3285,2.315,2,0,141928
2003,360,Indonésia,100630,Arroz,626,Timor-Leste,2808,1.978,3,1,141928
2003,360,Indonésia,100640,Arroz,702,Singapura,27500,95.609,1,0,28763
2003,360,Indonésia,100640,Arroz,458,Malásia,1263,4.391,2,0,28763
2003,360,Indonésia,252329,Cimento,566,Nigéria,12107492,27.386,1,0,44210637
2003,360,Indonésia,252329,Cimento,702,Singapura,7481254,16.922,2,0,44210637
2003,360,Indonésia,252329,Cimento,144,Sri Lanka,3493108,7.901,3,0,44210637
2003,360,Indonésia,252329,Cimento,116,Cambodia,2924402,6.615,4,0,44210637
2003,360,Indonésia,252329,Cimento,50,Bangladesh,2824825,6.389,5,0,44210637
2003,360,Indonésia,252329,Cimento,626,Timor-Leste,483512,1.094,16,1,44210637
2003,360,Indonésia,871120,Motociclos,704,Vietname,12497618,35.789,1,0,34920076
2003,360,Indonésia,871120,Motociclos,170,Colômbia,6081022,17.414,2,0,34920076
2003,360,Indonésia,871120,Motociclos,300,Grécia,4763914,13.642,3,0,34920076
2003,360,Indonésia,871120,Motociclos,608,Filipinas,2781725,7.966,4,0,34920076
2003,360,Indonésia,871120,Motociclos,76,Brasil,2299045,6.584,5,0,34920076
2003,360,Indonésia,871120,Motociclos,626,Timor-Leste,809030,2.317,9,1,34920076
2003,490,Taiwan (Prov. China),020714,Carne de aves,392,Japão,578100,58.936,1,0,980900
2003,490,Taiwan (Prov. China),020714,Carne de aves,344,Hong Kong (RAEHK),281800,28.729,2,0,980900
2003,490,Taiwan (Prov. China),020714,Carne de aves,156,China,121000,12.336,3,0,980900
2003,490,Taiwan (Prov. China),100630,Arroz,764,Tailândia,17400,48.066,1,0,36200
2003,490,Taiwan (Prov. China),100630,Arroz,516,Namíbia,15300,42.265,2,0,36200
2003,490,Taiwan (Prov. China),100630,Arroz,344,Hong Kong (RAEHK),1600,4.42,3,0,36200
2003,490,Taiwan (Prov. China),100630,Arroz,702,Singapura,1100,3.039,4,0,36200
2003,490,Taiwan (Prov. China),100630,Arroz,124,Canadá,700,1.934,5,0,36200
2003,490,Taiwan (Prov. China),252329,Cimento,566,Nigéria,47178600,54.196,1,0,87052300
2003,490,Taiwan (Prov. China),252329,Cimento,702,Singapura,13352200,15.338,2,0,87052300
2003,490,Taiwan (Prov. China),252329,Cimento,842,EUA,12500400,14.36,3,0,87052300
2003,490,Taiwan (Prov. China),252329,Cimento,344,Hong Kong (RAEHK),12422700,14.27,4,0,87052300
2003,490,Taiwan (Prov. China),252329,Cimento,156,China,1098400,1.262,5,0,87052300
2003,490,Taiwan (Prov. China),871120,Motociclos,380,Itália,36009700,20.605,1,0,174758800
2003,490,Taiwan (Prov. China),871120,Motociclos,392,Japão,27729600,15.867,2,0,174758800
2003,490,Taiwan (Prov. China),871120,Motociclos,842,EUA,19688200,11.266,3,0,174758800
2003,490,Taiwan (Prov. China),871120,Motociclos,566,Nigéria,10119900,5.791,4,0,174758800
2003,490,Taiwan (Prov. China),871120,Motociclos,344,Hong Kong (RAEHK),7829700,4.48,5,0,174758800
2003,702,Singapura,020714,Carne de aves,360,Indonésia,3260052,47.56,1,0,6854634
2003,702,Singapura,020714,Carne de aves,76,Brasil,1698031,24.772,2,0,6854634
2003,702,Singapura,020714,Carne de aves,458,Malásia,868262,12.667,3,0,6854634
