year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,020714,Carne de aves,156,China,11100,57.427,mirror
2003,020714,Carne de aves,36,Austrália,8229,42.573,mirror
2003,100630,Arroz,704,Vietname,4672829,78.874,mirror
2003,100630,Arroz,764,Tailândia,1217776,20.555,mirror
2003,100630,Arroz,156,China,31032,0.524,mirror
2003,100630,Arroz,360,Indonésia,2808,0.047,mirror
2003,100640,Arroz,764,Tailândia,20310,100.0,mirror
2003,110100,Farinha de trigo,360,Indonésia,1341571,100.0,mirror
2003,151190,Óleo de palma,360,Indonésia,1480488,100.0,mirror
2003,170199,Açúcar de cana ou de beterraba,764,Tailândia,60925,68.534,mirror
2003,170199,Açúcar de cana ou de beterraba,528,Países Baixos,16965,19.084,mirror
2003,170199,Açúcar de cana ou de beterraba,276,Alemanha,4000,4.5,mirror
2003,170199,Açúcar de cana ou de beterraba,156,China,3759,4.228,mirror
2003,170199,Açúcar de cana ou de beterraba,620,Portugal,2956,3.325,mirror
2003,170199,Açúcar de cana ou de beterraba,360,Indonésia,292,0.328,mirror
2003,190230,Massas alimentícias,392,Japão,3479,73.927,mirror
2003,190230,Massas alimentícias,410,Coreia do Sul,1103,23.438,mirror
2003,190230,Massas alimentícias,36,Austrália,124,2.635,mirror
2003,220110,Águas minerais e gaseificadas,360,Indonésia,1707665,99.746,mirror
2003,220110,Águas minerais e gaseificadas,36,Austrália,3376,0.197,mirror
2003,220110,Águas minerais e gaseificadas,620,Portugal,972,0.057,mirror
2003,220210,Bebidas não alcoólicas,36,Austrália,393513,79.025,mirror
2003,220210,Bebidas não alcoólicas,704,Vietname,55078,11.061,mirror
2003,220210,Bebidas não alcoólicas,360,Indonésia,45949,9.227,mirror
2003,220210,Bebidas não alcoólicas,620,Portugal,3418,0.686,mirror
2003,220300,Cerveja,458,Malásia,201440,54.161,mirror
2003,220300,Cerveja,360,Indonésia,80972,21.771,mirror
2003,220300,Cerveja,620,Portugal,80515,21.648,mirror
2003,220300,Cerveja,704,Vietname,9000,2.42,mirror
2003,240220,Cigarros,36,Austrália,818874,89.053,mirror
2003,240220,Cigarros,410,Coreia do Sul,78670,8.555,mirror
2003,240220,Cigarros,620,Portugal,17113,1.861,mirror
2003,240220,Cigarros,764,Tailândia,4233,0.46,mirror
2003,240220,Cigarros,554,Nova Zelândia,646,0.07,mirror
2003,252329,Cimento,360,Indonésia,483512,87.539,mirror
2003,252329,Cimento,36,Austrália,68824,12.461,mirror
2003,271011,Combustíveis refinados,36,Austrália,5915708,100.0,mirror
2003,271019,Combustíveis refinados,36,Austrália,89401,78.158,mirror
2003,271019,Combustíveis refinados,276,Alemanha,18000,15.736,mirror
2003,271019,Combustíveis refinados,643,Rússia,6984,6.106,mirror
2003,630900,Vestuário usado,360,Indonésia,21680,68.114,mirror
2003,630900,Vestuário usado,392,Japão,9129,28.681,mirror
2003,630900,Vestuário usado,620,Portugal,1020,3.205,mirror
2003,840890,Motores diesel,826,Reino Unido,36783,99.475,mirror
2003,840890,Motores diesel,156,China,194,0.525,mirror
2003,870322,Automóveis de passageiros,36,Austrália,16626,61.183,mirror
2003,870322,Automóveis de passageiros,392,Japão,10548,38.817,mirror
2003,870323,Automóveis de passageiros,360,Indonésia,187200,46.412,mirror
2003,870323,Automóveis de passageiros,36,Austrália,132104,32.752,mirror
2003,870323,Automóveis de passageiros,392,Japão,84038,20.835,mirror
2003,870333,Automóveis de passageiros,36,Austrália,446674,52.006,mirror
2003,870333,Automóveis de passageiros,392,Japão,320092,37.268,mirror
2003,870333,Automóveis de passageiros,620,Portugal,47130,5.487,mirror
2003,870333,Automóveis de passageiros,276,Alemanha,45000,5.239,mirror
2003,870421,Veículos de mercadorias,36,Austrália,1230853,75.472,mirror
2003,870421,Veículos de mercadorias,764,Tailândia,172474,10.576,mirror
2003,870421,Veículos de mercadorias,392,Japão,140135,8.593,mirror
2003,870421,Veículos de mercadorias,360,Indonésia,82401,5.053,mirror
2003,870421,Veículos de mercadorias,276,Alemanha,5000,0.307,mirror
2003,870422,Veículos de mercadorias,392,Japão,46536,43.861,mirror
2003,870422,Veículos de mercadorias,36,Austrália,43451,40.954,mirror
2003,870422,Veículos de mercadorias,360,Indonésia,16111,15.185,mirror
2003,871120,Motociclos,360,Indonésia,809030,73.631,mirror
2003,871120,Motociclos,156,China,154243,14.038,mirror
2003,871120,Motociclos,392,Japão,62994,5.733,mirror
2003,871120,Motociclos,704,Vietname,38000,3.458,mirror
2003,871120,Motociclos,36,Austrália,34499,3.14,mirror
2003,999999,Mercadorias não especificadas,36,Austrália,11134314,89.049,mirror
2003,999999,Mercadorias não especificadas,842,EUA,319797,2.558,mirror
2003,999999,Mercadorias não especificadas,56,Bélgica,300799,2.406,mirror
2003,999999,Mercadorias não especificadas,360,Indonésia,256228,2.049,mirror
2003,999999,Mercadorias não especificadas,40,Áustria,159374,1.275,mirror
2003,999999,Mercadorias não especificadas,764,Tailândia,136108,1.089,mirror
2003,999999,Mercadorias não especificadas,156,China,100000,0.8,mirror
2003,999999,Mercadorias não especificadas,276,Alemanha,36000,0.288,mirror
2004,020714,Carne de aves,702,Singapura,19478,77.377,direct
2004,020714,Carne de aves,36,Austrália,5112,20.307,direct
2004,020714,Carne de aves,360,Indonésia,583,2.316,direct
2004,100630,Arroz,764,Tailândia,154355,98.283,direct
2004,100630,Arroz,36,Austrália,1355,0.863,direct
2004,100630,Arroz,702,Singapura,724,0.461,direct
2004,100630,Arroz,360,Indonésia,589,0.375,direct
2004,100630,Arroz,704,Vietname,28,0.018,direct
2004,100640,Arroz,704,Vietname,821086,69.616,direct
2004,100640,Arroz,360,Indonésia,242484,20.559,direct
2004,100640,Arroz,764,Tailândia,115598,9.801,direct
2004,100640,Arroz,702,Singapura,276,0.023,direct
2004,110100,Farinha de trigo,360,Indonésia,367185,96.266,direct
2004,110100,Farinha de trigo,702,Singapura,11787,3.09,direct
2004,110100,Farinha de trigo,36,Austrália,2183,0.572,direct
2004,110100,Farinha de trigo,242,Fiji,230,0.06,direct
2004,110100,Farinha de trigo,392,Japão,41,0.011,direct
2004,151190,Óleo de palma,360,Indonésia,137629,99.39,direct
2004,151190,Óleo de palma,702,Singapura,826,0.597,direct
2004,151190,Óleo de palma,156,China,19,0.014,direct
2004,170199,Açúcar de cana ou de beterraba,764,Tailândia,299886,68.374,direct
2004,170199,Açúcar de cana ou de beterraba,360,Indonésia,90686,20.676,direct
2004,170199,Açúcar de cana ou de beterraba,702,Singapura,47872,10.915,direct
2004,170199,Açúcar de cana ou de beterraba,36,Austrália,152,0.035,direct
2004,190230,Massas alimentícias,702,Singapura,5482,46.963,direct
2004,190230,Massas alimentícias,360,Indonésia,2855,24.458,direct
2004,190230,Massas alimentícias,36,Austrália,2421,20.74,direct
