year,hs6,description_pt,partner_code,partner,value,share_pct,basis
2003,090111,Café,842,EUA,3452223,59.476,mirror
2003,090111,Café,360,Indonésia,851582,14.671,mirror
2003,090111,Café,620,Portugal,565040,9.735,mirror
2003,090111,Café,276,Alemanha,487000,8.39,mirror
2003,090111,Café,36,Austrália,251089,4.326,mirror
2003,090111,Café,554,Nova Zelândia,96198,1.657,mirror
2003,090111,Café,392,Japão,60309,1.039,mirror
2003,090111,Café,208,Dinamarca,20892,0.36,mirror
2003,090112,Café,842,EUA,87243,100.0,mirror
2003,090190,Café,36,Austrália,3207,100.0,mirror
2003,271019,Combustíveis refinados,36,Austrália,92589,100.0,mirror
2003,490199,Livros e brochuras,288,Gana,119,76.774,mirror
2003,490199,Livros e brochuras,620,Portugal,36,23.226,mirror
2003,630900,Vestuário usado,586,Paquistão,16752,52.21,mirror
2003,630900,Vestuário usado,288,Gana,14701,45.817,mirror
2003,630900,Vestuário usado,410,Coreia do Sul,415,1.293,mirror
2003,630900,Vestuário usado,620,Portugal,218,0.679,mirror
2003,760200,Sucata de alumínio,458,Malásia,2700,100.0,mirror
2003,841391,Bombas para líquidos,842,EUA,5630,100.0,mirror
2003,852910,Partes de aparelhos de rádio e TV,842,EUA,9952,100.0,mirror
2003,880330,Partes de aeronaves,643,Rússia,150,100.0,mirror
2003,999999,Mercadorias não especificadas,842,EUA,82192,58.161,mirror
2003,999999,Mercadorias não especificadas,826,Reino Unido,37638,26.633,mirror
2003,999999,Mercadorias não especificadas,242,Fiji,10570,7.48,mirror
2003,999999,Mercadorias não especificadas,764,Tailândia,5103,3.611,mirror
2003,999999,Mercadorias não especificadas,598,Papua New Guinea,3174,2.246,mirror
2003,999999,Mercadorias não especificadas,276,Alemanha,2000,1.415,mirror
2003,999999,Mercadorias não especificadas,699,Índia,351,0.248,mirror
2003,999999,Mercadorias não especificadas,458,Malásia,291,0.206,mirror
2004,090111,Café,842,EUA,3551238,53.77,direct
2004,090111,Café,360,Indonésia,1265027,19.154,direct
2004,090111,Café,620,Portugal,579423,8.773,direct
2004,090111,Café,276,Alemanha,441135,6.679,direct
2004,090111,Café,36,Austrália,289482,4.383,direct
2004,090111,Café,702,Singapura,130400,1.974,direct
2004,090111,Café,528,Países Baixos,93820,1.421,direct
2004,090111,Café,579,Noruega,71410,1.081,direct
2004,090112,Café,554,Nova Zelândia,19,100.0,direct
2004,090121,Café,300,Grécia,61,100.0,direct
2004,090190,Café,36,Austrália,221909,75.327,direct
2004,090190,Café,392,Japão,45436,15.423,direct
2004,090190,Café,702,Singapura,27250,9.25,direct
2004,220300,Cerveja,36,Austrália,11305,100.0,direct
2004,271019,Combustíveis refinados,702,Singapura,7171,94.034,direct
2004,271019,Combustíveis refinados,608,Filipinas,318,4.17,direct
2004,271019,Combustíveis refinados,36,Austrália,137,1.796,direct
2004,271112,Gás natural e outros gases de petróleo,36,Austrália,203,100.0,direct
2004,490199,Livros e brochuras,392,Japão,61589,75.024,direct
