year,partner_code,partner,value,share_pct,rank,basis
2003,842,EUA,3690085,38.431,1,mirror
2003,360,Indonésia,1404018,14.622,2,mirror
2003,566,Nigéria,788397,8.211,3,mirror
2003,276,Alemanha,682000,7.103,4,mirror
2003,620,Portugal,609154,6.344,5,mirror
2003,36,Austrália,582288,6.064,6,mirror
2003,586,Paquistão,390052,4.062,7,mirror
2003,826,Reino Unido,378366,3.941,8,mirror
2003,704,Vietname,214732,2.236,9,mirror
2003,251,França,145895,1.519,10,mirror
2004,36,Austrália,44068690,41.71,1,direct
2004,392,Japão,24114001,22.824,2,direct
2004,620,Portugal,13711144,12.977,3,direct
2004,842,EUA,4338343,4.106,4,direct
2004,50,Bangladesh,4226465,4.0,5,direct
2004,380,Itália,3636528,3.442,6,direct
2004,124,Canadá,2768266,2.62,7,direct
2004,360,Indonésia,2629424,2.489,8,direct
2004,458,Malásia,1703468,1.612,9,direct
2004,586,Paquistão,1442652,1.365,10,direct
2004,410,Coreia do Sul,36338268,68.844,1,mirror
2004,36,Austrália,6884544,13.043,2,mirror
2004,608,Filipinas,3639769,6.896,3,mirror
2004,620,Portugal,962050,1.823,4,mirror
2004,586,Paquistão,866631,1.642,5,mirror
2004,360,Indonésia,666835,1.263,6,mirror
2004,276,Alemanha,609000,1.154,7,mirror
2004,251,França,323424,0.613,8,mirror
2004,124,Canadá,306716,0.581,9,mirror
2004,757,Suíça,257620,0.488,10,mirror
2005,36,Austrália,23340141,53.716,1,direct
2005,842,EUA,10377364,23.883,2,direct
2005,276,Alemanha,1688224,3.885,3,direct
2005,620,Portugal,1248712,2.874,4,direct
2005,76,Brasil,961206,2.212,5,direct
2005,50,Bangladesh,924479,2.128,6,direct
2005,586,Paquistão,918199,2.113,7,direct
2005,360,Indonésia,859031,1.977,8,direct
2005,242,Fiji,836630,1.925,9,direct
2005,736,Sudan (...2011),273564,0.63,10,direct
2005,554,Nova Zelândia,39779089,53.245,1,mirror
2005,410,Coreia do Sul,26042038,34.857,2,mirror
2005,620,Portugal,1450635,1.942,3,mirror
2005,242,Fiji,1194492,1.599,4,mirror
2005,686,Senegal,1032748,1.382,5,mirror
2005,360,Indonésia,984763,1.318,6,mirror
2005,124,Canadá,659845,0.883,7,mirror
2005,36,Austrália,636673,0.852,8,mirror
2005,392,Japão,568845,0.761,9,mirror
2005,586,Paquistão,386057,0.517,10,mirror
