year,partner_code,partner,value,share_pct,rank,basis
2003,36,Austrália,60986379,44.789,1,mirror
2003,360,Indonésia,43070421,31.631,2,mirror
2003,50,Bangladesh,7786420,5.718,3,mirror
2003,620,Portugal,5399046,3.965,4,mirror
2003,704,Vietname,4834270,3.55,5,mirror
2003,276,Alemanha,2863000,2.103,6,mirror
2003,392,Japão,2097202,1.54,7,mirror
2003,764,Tailândia,1840075,1.351,8,mirror
2003,699,Índia,1306304,0.959,9,mirror
2003,156,China,1067053,0.784,10,mirror
2004,360,Indonésia,60199867,53.045,1,direct
2004,36,Austrália,20050793,17.668,2,direct
2004,702,Singapura,15153786,13.353,3,direct
2004,704,Vietname,5241892,4.619,4,direct
2004,380,Itália,2116613,1.865,5,direct
2004,620,Portugal,1685757,1.485,6,direct
2004,208,Dinamarca,1654648,1.458,7,direct
2004,764,Tailândia,1305579,1.15,8,direct
2004,392,Japão,1268834,1.118,9,direct
2004,156,China,1149138,1.013,10,direct
2004,360,Indonésia,27097237,30.79,1,mirror
2004,36,Austrália,22528846,25.599,2,mirror
2004,842,EUA,9748772,11.077,3,mirror
2004,704,Vietname,9647118,10.962,4,mirror
2004,276,Alemanha,4066000,4.62,5,mirror
2004,764,Tailândia,2415651,2.745,6,mirror
2004,834,Tanzânia,1982582,2.253,7,mirror
2004,620,Portugal,1720622,1.955,8,mirror
2004,156,China,1708545,1.941,9,mirror
2004,528,Países Baixos,1505360,1.711,10,mirror
2005,360,Indonésia,47768008,47.01,1,direct
2005,702,Singapura,14796037,14.561,2,direct
2005,36,Austrália,14144601,13.92,3,direct
2005,392,Japão,10534530,10.367,4,direct
2005,704,Vietname,4533854,4.462,5,direct
2005,156,China,1683807,1.657,6,direct
2005,620,Portugal,1651287,1.625,7,direct
2005,764,Tailândia,1121997,1.104,8,direct
2005,410,Coreia do Sul,877547,0.864,9,direct
2005,458,Malásia,787973,0.775,10,direct
2005,360,Indonésia,34279270,37.534,1,mirror
2005,36,Austrália,13816136,15.128,2,mirror
2005,704,Vietname,12354293,13.527,3,mirror
2005,842,EUA,8685474,9.51,4,mirror
2005,276,Alemanha,3990000,4.369,5,mirror
2005,834,Tanzânia,3225283,3.531,6,mirror
2005,392,Japão,2816386,3.084,7,mirror
2005,764,Tailândia,2557209,2.8,8,mirror
2005,458,Malásia,1733903,1.899,9,mirror
2005,528,Países Baixos,1478721,1.619,10,mirror
2006,360,Indonésia,28410025,25.828,1,mirror
2006,36,Austrália,22819538,20.746,2,mirror
2006,704,Vietname,12182411,11.075,3,mirror
2006,842,EUA,11575410,10.523,4,mirror
2006,276,Alemanha,7202000,6.547,5,mirror
2006,156,China,5794277,5.268,6,mirror
2006,764,Tailândia,5752542,5.23,7,mirror
2006,392,Japão,5467748,4.971,8,mirror
2006,620,Portugal,2755252,2.505,9,mirror
2006,410,Coreia do Sul,1230816,1.119,10,mirror
2007,36,Austrália,31274998,27.765,1,mirror
2007,704,Vietname,15566071,13.819,2,mirror
2007,842,EUA,10934227,9.707,3,mirror
2007,156,China,9519753,8.452,4,mirror
2007,764,Tailândia,8473599,7.523,5,mirror
2007,360,Indonésia,7466014,6.628,6,mirror
2007,392,Japão,6733640,5.978,7,mirror
2007,276,Alemanha,4796000,4.258,8,mirror
2007,710,África do Sul,3244359,2.88,9,mirror
2007,458,Malásia,2507501,2.226,10,mirror
2008,360,Indonésia,85747242,25.51,1,mirror
2008,608,Filipinas,68714422,20.443,2,mirror
2008,704,Vietname,58888631,17.52,3,mirror
2008,178,Congo,39486551,11.747,4,mirror
2008,36,Austrália,29395950,8.745,5,mirror
2008,156,China,9426360,2.804,6,mirror
2008,764,Tailândia,8714507,2.593,7,mirror
2008,458,Malásia,7951451,2.366,8,mirror
2008,392,Japão,6794386,2.021,9,mirror
2008,842,EUA,5042480,1.5,10,mirror
2009,360,Indonésia,163029243,44.658,1,mirror
2009,704,Vietname,99412494,27.232,2,mirror
2009,36,Austrália,33922371,9.292,3,mirror
2009,156,China,23260240,6.372,4,mirror
2009,620,Portugal,12884634,3.529,5,mirror
2009,458,Malásia,8185586,2.242,6,mirror
2009,764,Tailândia,6715443,1.84,7,mirror
2009,392,Japão,5775347,1.582,8,mirror
2009,276,Alemanha,3148511,0.862,9,mirror
2009,842,EUA,2350110,0.644,10,mirror
2010,699,Índia,538030678,59.245,1,mirror
2010,360,Indonésia,175272642,19.3,2,mirror
2010,36,Austrália,57478809,6.329,3,mirror
2010,704,Vietname,52856155,5.82,4,mirror
2010,156,China,42832008,4.716,5,mirror
2010,620,Portugal,8809249,0.97,6,mirror
2010,764,Tailândia,8750903,0.964,7,mirror
2010,392,Japão,7887713,0.869,8,mirror
2010,842,EUA,4325772,0.476,9,mirror
2010,458,Malásia,3238593,0.357,10,mirror
2011,360,Indonésia,220095150,36.4,1,mirror
2011,702,Singapura,114189034,18.885,2,mirror
2011,156,China,70432762,11.648,3,mirror
2011,380,Itália,54315468,8.983,4,mirror
2011,36,Austrália,30563067,5.055,5,mirror
2011,251,França,16743386,2.769,6,mirror
2011,246,Finlândia,16482218,2.726,7,mirror
2011,764,Tailândia,16017618,2.649,8,mirror
2011,704,Vietname,13016732,2.153,9,mirror
2011,392,Japão,9779999,1.617,10,mirror
2012,360,Indonésia,258168941,37.366,1,mirror
2012,702,Singapura,99134810,14.348,2,mirror
2012,380,Itália,75313326,10.901,3,mirror
2012,156,China,62473520,9.042,4,mirror
2012,246,Finlândia,45969102,6.653,5,mirror
2012,704,Vietname,34408329,4.98,6,mirror
2012,36,Austrália,26497843,3.835,7,mirror
2012,528,Países Baixos,17625867,2.551,8,mirror
2012,764,Tailândia,15847925,2.294,9,mirror
2012,410,Coreia do Sul,9906529,1.434,10,mirror
2013,360,Indonésia,176086044,34.275,1,direct
2013,458,Malásia,79252903,15.427,2,direct
2013,702,Singapura,65839785,12.816,3,direct
2013,704,Vietname,39810879,7.749,4,direct
2013,156,China,33546358,6.53,5,direct
2013,490,Taiwan (Prov. China),30278093,5.894,6,direct
2013,36,Austrália,14900506,2.9,7,direct
2013,620,Portugal,11392510,2.218,8,direct
2013,392,Japão,11016326,2.144,9,direct
2013,344,Hong Kong (RAEHK),10780363,2.098,10,direct
2013,360,Indonésia,246291229,47.107,1,mirror
2013,702,Singapura,79400238,15.187,2,mirror
2013,156,China,47386367,9.063,3,mirror
2013,704,Vietname,46889450,8.968,4,mirror
2013,36,Austrália,21486264,4.11,5,mirror
2013,458,Malásia,19819911,3.791,6,mirror
2013,410,Coreia do Sul,13611186,2.603,7,mirror
2013,764,Tailândia,12386535,2.369,8,mirror
2013,490,Taiwan (Prov. China),11894013,2.275,9,mirror
2013,620,Portugal,9285342,1.776,10,mirror
2014,360,Indonésia,226334465,34.406,1,mirror
2014,702,Singapura,104874557,15.942,2,mirror
2014,764,Tailândia,66046555,10.04,3,mirror
2014,704,Vietname,63307560,9.624,4,mirror
2014,458,Malásia,62395240,9.485,5,mirror
2014,156,China,60341649,9.173,6,mirror
2014,36,Austrália,32158600,4.888,7,mirror
2014,392,Japão,9370714,1.424,8,mirror
2014,620,Portugal,8358950,1.271,9,mirror
2014,490,Taiwan (Prov. China),5437325,0.827,10,mirror
2015,360,Indonésia,216482360,35.903,1,mirror
2015,702,Singapura,147900604,24.529,2,mirror
2015,156,China,104529645,17.336,3,mirror
2015,458,Malásia,29773839,4.938,4,mirror
2015,764,Tailândia,27389001,4.542,5,mirror
2015,36,Austrália,20633129,3.422,6,mirror
2015,246,Finlândia,15672228,2.599,7,mirror
2015,620,Portugal,10363225,1.719,8,mirror
2015,410,Coreia do Sul,8970785,1.488,9,mirror
2015,392,Japão,4926319,0.817,10,mirror
2016,360,Indonésia,225914393,38.623,1,mirror
2016,156,China,164272800,28.084,2,mirror
2016,704,Vietname,47296199,8.086,3,mirror
2016,702,Singapura,42176807,7.211,4,mirror
2016,36,Austrália,27102839,4.634,5,mirror
2016,764,Tailândia,15032536,2.57,6,mirror
2016,458,Malásia,14463763,2.473,7,mirror
2016,620,Portugal,9102240,1.556,8,mirror
2016,410,Coreia do Sul,7544339,1.29,9,mirror
2016,392,Japão,5175479,0.885,10,mirror
2017,360,Indonésia,187494894,31.884,1,direct
2017,156,China,88937280,15.124,2,direct
2017,702,Singapura,76998402,13.094,3,direct
2017,344,Hong Kong (RAEHK),59437169,10.108,4,direct
2017,704,Vietname,38895027,6.614,5,direct
2017,764,Tailândia,17675755,3.006,6,direct
2017,458,Malásia,15839156,2.694,7,direct
2017,76,Brasil,15164472,2.579,8,direct
2017,36,Austrália,14901531,2.534,9,direct
2017,56,Bélgica,12080815,2.054,10,direct
2017,360,Indonésia,228143331,42.052,1,mirror
2017,156,China,132596622,24.44,2,mirror
2017,702,Singapura,50921282,9.386,3,mirror
2017,704,Vietname,23968464,4.418,4,mirror
2017,36,Austrália,22050036,4.064,5,mirror
2017,764,Tailândia,18872336,3.479,6,mirror
2017,458,Malásia,17484713,3.223,7,mirror
2017,620,Portugal,6667301,1.229,8,mirror
2017,528,Países Baixos,6257250,1.153,9,mirror
2017,392,Japão,6121004,1.128,10,mirror
2018,360,Indonésia,159378473,30.683,1,direct
2018,344,Hong Kong (RAEHK),78642821,15.14,2,direct
2018,702,Singapura,76244806,14.678,3,direct
2018,156,China,65157300,12.544,4,direct
2018,704,Vietname,25378922,4.886,5,direct
2018,764,Tailândia,16652741,3.206,6,direct
2018,76,Brasil,12854926,2.475,7,direct
2018,458,Malásia,12836968,2.471,8,direct
2018,36,Austrália,10969762,2.112,9,direct
2018,586,Paquistão,10253525,1.974,10,direct
2018,360,Indonésia,189658131,40.298,1,mirror
2018,156,China,132389717,28.13,2,mirror
2018,702,Singapura,37523714,7.973,3,mirror
2018,764,Tailândia,33223669,7.059,4,mirror
2018,36,Austrália,14742563,3.132,5,mirror
2018,458,Malásia,13792052,2.931,6,mirror
2018,586,Paquistão,11678755,2.481,7,mirror
2018,392,Japão,7181666,1.526,8,mirror
2018,620,Portugal,5672331,1.205,9,mirror
2018,699,Índia,3964440,0.842,10,mirror
2019,360,Indonésia,182313963,34.037,1,direct
2019,344,Hong Kong (RAEHK),77874728,14.539,2,direct
2019,702,Singapura,70117288,13.09,3,direct
2019,156,China,69378630,12.953,4,direct
2019,704,Vietname,28610684,5.341,5,direct
2019,458,Malásia,22780191,4.253,6,direct
2019,36,Austrália,10450155,1.951,7,direct
2019,76,Brasil,10047509,1.876,8,direct
2019,764,Tailândia,9845222,1.838,9,direct
2019,586,Paquistão,8883348,1.658,10,direct
2019,360,Indonésia,210736615,39.107,1,mirror
2019,156,China,142948758,26.528,2,mirror
2019,702,Singapura,55431661,10.287,3,mirror
2019,458,Malásia,27719296,5.144,4,mirror
2019,36,Austrália,21596605,4.008,5,mirror
2019,490,Taiwan (Prov. China),17395302,3.228,6,mirror
2019,764,Tailândia,8767302,1.627,7,mirror
2019,392,Japão,7247625,1.345,8,mirror
2019,699,Índia,6620292,1.229,9,mirror
2019,528,Países Baixos,6605345,1.226,10,mirror
2020,360,Indonésia,186106560,37.454,1,direct
2020,156,China,78407414,15.779,2,direct
2020,702,Singapura,51838984,10.433,3,direct
2020,344,Hong Kong (RAEHK),38748686,7.798,4,direct
2020,458,Malásia,29125598,5.862,5,direct
2020,704,Vietname,20625716,4.151,6,direct
2020,490,Taiwan (Prov. China),13530945,2.723,7,direct
2020,842,EUA,12488330,2.513,8,direct
2020,699,Índia,12449642,2.505,9,direct
2020,36,Austrália,11232755,2.261,10,direct
2020,360,Indonésia,221344583,35.662,1,mirror
