year,hs6,description_pt,value,share_pct,rank,basis
2003,090111,Café,5804434,60.451,1,mirror
2003,731100,"Containers for compressed or liquefied gas, of iron or steel",542051,5.645,2,mirror
2003,480100,"Newsprint; made of fibres obtained essentially by a chemi-mechanical process or of a weight, per m2, of more than 57g but not more than 65g, in rolls or sheets",486078,5.062,3,mirror
2003,720918,"Iron or non-alloy steel; in coils, flat-rolled, width 600mm or more, cold-rolled, of a thickness of less than 0.5mm",180700,1.882,4,mirror
2003,853400,Circuits; printed,171000,1.781,5,mirror
2003,999999,Commodities not specified according to kind,141319,1.472,6,mirror
2003,390210,"Propylene, other olefin polymers; polypropylene in primary forms",115500,1.203,7,mirror
2003,271019,Combustíveis refinados,92589,0.964,8,mirror
2003,090112,Café,87243,0.909,9,mirror
2003,847990,"Machines and mechanical appliances; parts, of those having individual functions",84582,0.881,10,mirror
2004,880212,"Helicopters, except unmanned; of an unladen weight exceeding 2000kg",11579423,10.96,1,direct
2004,870422,Veículos de mercadorias,10331211,9.778,2,direct
2004,090111,Café,6604448,6.251,3,direct
2004,880330,880330,6432583,6.088,4,direct
2004,930591,"Firearms; parts and accessories, of military weapons of heading 9301",3844425,3.639,5,direct
2004,870390,Automóveis de passageiros,3442469,3.258,6,direct
2004,900490,"Spectacles, goggles and the like; (other than sunglasses) corrective, protective or other",2999795,2.839,7,direct
2004,870590,"Vehicles; break-down lorries, road-sweepers, spraying lorries, mobile workshops, mobile radiological units, and other special purpose vehicles n.e.c. in heading no. 8705",2891914,2.737,8,direct
2004,880240,"Aeroplanes and other aircraft, except unmanned; of an unladen weight exceeding 15,000kg",2500000,2.366,9,direct
2004,852990,"Reception and transmission apparatus; for use with the apparatus of heading no. 8524 to 8528, excluding aerials and aerial reflectors",1904325,1.802,10,direct
2004,270900,Petróleo bruto,42674656,80.848,1,mirror
2004,090111,Café,2776745,5.261,2,mirror
2004,271113,Gás natural e outros gases de petróleo,1885614,3.572,3,mirror
2004,271112,Gás natural e outros gases de petróleo,1515553,2.871,4,mirror
2004,740811,"Copper; wire, of refined copper, of which the maximum cross-sectional dimension exceeds 6mm",259782,0.492,5,mirror
2004,480510,480510,238602,0.452,6,mirror
2004,252329,"Cement; portland, other than white, whether or not artificially coloured",187404,0.355,7,mirror
2004,846299,846299,160035,0.303,8,mirror
2004,850440,Electrical static converters,154867,0.293,9,mirror
2004,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",150432,0.285,10,mirror
2005,880330,880330,12420707,28.586,1,direct
2005,090111,Café,7619520,17.536,2,direct
2005,490700,"Unused postage, revenue or similar stamps of current or new issue in the country in which they have, or will have, a recognised face value; stamp-impressed paper; cheque forms; banknotes, stock, share or bond certificates and the like of similar title",6220000,14.315,3,direct
2005,870333,Automóveis de passageiros,3164177,7.282,4,direct
2005,870331,Automóveis de passageiros,1252114,2.882,5,direct
2005,852520,852520,733978,1.689,6,direct
2005,621020,"Garments; overcoats, raincoats, car-coats, capes, cloaks, anoraks (including ski-jackets) and similar articles, men's or boys', of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)",604330,1.391,7,direct
2005,852990,"Reception and transmission apparatus; for use with the apparatus of heading no. 8524 to 8528, excluding aerials and aerial reflectors",594768,1.369,8,direct
2005,870899,Vehicle parts and accessories; n.e.c. in heading no. 8708,592196,1.363,9,direct
2005,870590,"Vehicles; break-down lorries, road-sweepers, spraying lorries, mobile workshops, mobile radiological units, and other special purpose vehicles n.e.c. in heading no. 8705",514058,1.183,10,direct
2005,270900,Petróleo bruto,65790689,88.061,1,mirror
2005,090111,Café,3391478,4.54,2,mirror
2005,151190,Óleo de palma,834145,1.117,3,mirror
2005,930599,"Firearms; parts and accessories, of firearms other than the military weapons of heading 9301",806091,1.079,4,mirror
2005,870490,Veículos de mercadorias,383383,0.513,5,mirror
2005,999999,Commodities not specified according to kind,261283,0.35,6,mirror
2005,440399,Madeira em bruto,249052,0.333,7,mirror
2005,090121,Café,241617,0.323,8,mirror
2005,850213,"Electric generating sets; with compression-ignition internal combustion piston engines (diesel or semi-diesel engines), of an output exceeding 375kVA",149472,0.2,9,mirror
2005,220300,Cerveja,133075,0.178,10,mirror
2006,271113,Gás natural e outros gases de petróleo,12264015,32.833,1,mirror
2006,271112,Gás natural e outros gases de petróleo,12041569,32.238,2,mirror
2006,090111,Café,8879808,23.773,3,mirror
2006,720429,Ferrous waste and scrap; of alloy steel (excluding stainless),592623,1.587,4,mirror
2006,880330,880330,555496,1.487,5,mirror
2006,240220,Cigarros,300584,0.805,6,mirror
2006,090121,Café,192429,0.515,7,mirror
2006,852812,852812,154046,0.412,8,mirror
2006,390210,"Propylene, other olefin polymers; polypropylene in primary forms",118031,0.316,9,mirror
2006,151190,Óleo de palma,114234,0.306,10,mirror
2007,271112,Gás natural e outros gases de petróleo,14068367,45.629,1,mirror
2007,271113,Gás natural e outros gases de petróleo,7341715,23.812,2,mirror
2007,090111,Café,5407933,17.54,3,mirror
2007,030379,Peixe congelado,496961,1.612,4,mirror
2007,999999,Commodities not specified according to kind,385629,1.251,5,mirror
2007,880330,880330,200220,0.649,6,mirror
2007,853720,"Boards, panels, consoles, desks and other bases; for electric control or the distribution of electricity, (other than switching apparatus of heading no. 8517), for a voltage exceeding 1000 volts",160585,0.521,7,mirror
2007,722519,"Steel, alloy; flat-rolled, width 600mm or more, of silicon-electrical steel, (other than grain-oriented)",156567,0.508,8,mirror
2007,570500,"Carpets and other textile floor coverings; n.e.c. in chapter 57, whether or not made up",153686,0.498,9,mirror
2007,200980,200980,136589,0.443,10,mirror
2008,271113,Gás natural e outros gases de petróleo,74701480,43.991,1,mirror
2008,271112,Gás natural e outros gases de petróleo,63574254,37.438,2,mirror
2008,090111,Café,11594151,6.828,3,mirror
2008,490199,"Printed matter; books, brochures, leaflets and similar printed matter n.e.c. in item no. 4901.10 or 4901.91",5225327,3.077,4,mirror
2008,880330,880330,2749916,1.619,5,mirror
2008,852560,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating sound recording or reproducing apparatus, incorporating reception apparatus",2212273,1.303,6,mirror
2008,842430,Mechanical appliances; steam or sand blasting machines and similar jet projecting machines,1014815,0.598,7,mirror
2008,090121,Café,597676,0.352,8,mirror
2008,880310,880310,451779,0.266,9,mirror
2008,390760,390760,400789,0.236,10,mirror
2009,271112,Gás natural e outros gases de petróleo,46555527,44.164,1,mirror
2009,271113,Gás natural e outros gases de petróleo,36336408,34.47,2,mirror
2009,090111,Café,7230261,6.859,3,mirror
2009,780199,"Lead; unwrought, unrefined, not containing by weight antimony as the principal other element",3736657,3.545,4,mirror
2009,490199,"Printed matter; books, brochures, leaflets and similar printed matter n.e.c. in item no. 4901.10 or 4901.91",2928749,2.778,5,mirror
2009,271019,Combustíveis refinados,1517296,1.439,6,mirror
2009,100110,100110,1149166,1.09,7,mirror
2009,090121,Café,1109001,1.052,8,mirror
2009,930120,"Military weapons; rocket launchers, flame-throwers, grenade launchers, torpedo tubes and similar projectors",535839,0.508,9,mirror
2009,852560,"Transmission apparatus for radio-broadcasting or television, whether or not incorporating sound recording or reproducing apparatus, incorporating reception apparatus",527830,0.501,10,mirror
2010,270900,Petróleo bruto,23566309,32.769,1,mirror
2010,090111,Café,13820655,19.218,2,mirror
2010,271113,Gás natural e outros gases de petróleo,10149467,14.113,3,mirror
2010,271112,Gás natural e outros gases de petróleo,8404981,11.687,4,mirror
2010,480100,"Newsprint; made of fibres obtained essentially by a chemi-mechanical process or of a weight, per m2, of more than 57g but not more than 65g, in rolls or sheets",1241734,1.727,5,mirror
2010,851770,851770,1169397,1.626,6,mirror
2010,852340,852340,1137657,1.582,7,mirror
2010,090121,Café,1119360,1.556,8,mirror
2010,902610,Instruments and apparatus; for measuring or checking the flow or level of liquids,1107891,1.541,9,mirror
2010,842951,Front-end shovel loaders,1098506,1.527,10,mirror
2011,270900,Petróleo bruto,34536261,22.439,1,mirror
2011,271112,Gás natural e outros gases de petróleo,26784584,17.402,2,mirror
2011,090111,Café,25954750,16.863,3,mirror
2011,271113,Gás natural e outros gases de petróleo,23629130,15.352,4,mirror
2011,999999,Commodities not specified according to kind,21940929,14.255,5,mirror
2011,843143,Boring or sinking machinery; parts for boring or sinking machinery of subheading 8430.41 or 8430.49,10738812,6.977,6,mirror
2011,090121,Café,1433450,0.931,7,mirror
2011,440399,Madeira em bruto,864896,0.562,8,mirror
2011,851762,"Communication apparatus (excluding telephone sets or base stations); machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",809768,0.526,9,mirror
2011,382490,382490,766947,0.498,10,mirror
2012,270900,Petróleo bruto,604707166,91.311,1,mirror
2012,271113,Gás natural e outros gases de petróleo,17096069,2.582,2,mirror
2012,271112,Gás natural e outros gases de petróleo,13608205,2.055,3,mirror
2012,090111,Café,11901233,1.797,4,mirror
2012,871680,Vehicles; n.e.c. in heading no. 8716,4072473,0.615,5,mirror
2012,999999,Commodities not specified according to kind,1177300,0.178,6,mirror
2012,930621,Ammunition; shotgun cartridges,944790,0.143,7,mirror
