year,basis,exports,imports,trade_volume,balance
2003,direct,0,0,0,0
2003,mirror,9601952,136164075,145766027,-126562123
2004,direct,105654155,113488860,219143015,-7834705
2004,mirror,52783819,88006488,140790307,-35222669
2005,direct,43450997,101613157,145064154,-58162160
2005,mirror,74710052,91328995,166039047,-16618943
2006,direct,0,0,0,0
2006,mirror,37352529,109997282,147349811,-72644753
2007,direct,0,0,0,0
2007,mirror,30832366,112639799,143472165,-81807433
2008,direct,0,0,0,0
2008,mirror,169810991,336130526,505941517,-166319535
2009,direct,0,0,0,0
2009,mirror,105415525,365062508,470478033,-259646983
2010,direct,0,0,0,0
2010,mirror,71915767,908147894,980063661,-836232127
2011,direct,0,0,0,0
2011,mirror,153914324,604654247,758568571,-450739923
2012,direct,0,0,0,0
2012,mirror,662250973,690914946,1353165919,-28663973
2013,direct,53136023,513738509,566874532,-460602486
2013,mirror,872446284,522830742,1395277026,349615542
2014,direct,0,0,0,0
2014,mirror,131177740,657842749,789020489,-526665009
2015,direct,0,0,0,0
2015,mirror,341642215,602959167,944601382,-261316952
2016,direct,0,0,0,0
2016,mirror,61374615,584925942,646300557,-523551327
2017,direct,24174262,588047302,612221564,-563873040
2017,mirror,103311999,542532010,645844009,-439220011
2018,direct,23092387,519435618,542528005,-496343231
2018,mirror,78260822,470634611,548895433,-392373789
2019,direct,141422984,535637257,677060241,-394214273
2019,mirror,122676981,538866061,661543042,-416189080
2020,direct,249889238,496895983,746785221,-247006745
2020,mirror,108203247,620670356,728873603,-512467109
2021,direct,458303194,542319559,1000622753,-84016365
2021,mirror,333516233,813012988,1146529221,-479496755
2022,direct,471773786,933461587,1405235373,-461687801
2022,mirror,414881535,966423714,1381305249,-551542179
2023,direct,163722075,909435425,1073157500,-745713350
2023,mirror,176277291,997781244,1174058535,-821503953
2024,direct,0,0,0,0
2024,mirror,88996195,1032854154,1121850349,-943857959
