,section,hscode,description,parent,level
0,I,01,Animals; live,TOTAL,2
1,I,0101,"Horses, asses, mules and hinnies; live",01,4
2,I,010121,"Horses; live, pure-bred breeding animals",0101,6
3,I,010129,"Horses; live, other than pure-bred breeding animals",0101,6
4,I,010130,Asses; live,0101,6
5,I,010190,Mules and hinnies; live,0101,6
6,I,0102,Bovine animals; live,01,4
7,I,010221,"Cattle; live, pure-bred breeding animals",0102,6
8,I,010229,"Cattle; live, other than pure-bred breeding animals",0102,6
9,I,010231,"Buffalo; live, pure-bred breeding animals",0102,6
10,I,010239,"Buffalo; live, other than pure-bred breeding animals",0102,6
11,I,010290,"Bovine animals; live, other than cattle and buffalo",0102,6
12,I,0103,Swine; live,01,4
13,I,010310,"Swine; live, pure-bred breeding animals",0103,6
14,I,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",0103,6
15,I,010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",0103,6
16,I,0104,Sheep and goats; live,01,4
17,I,010410,Sheep; live,0104,6
18,I,010420,Goats; live,0104,6
19,I,0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",01,4
20,I,010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",0105,6
21,I,010512,"Poultry; live, turkeys, weighing not more than 185g",0105,6
22,I,010513,"Poultry; live, ducks, weighing not more than 185g",0105,6
23,I,010514,"Poultry; live, geese, weighing not more than 185g",0105,6
24,I,010515,"Poultry; live, guinea fowls, weighing not more than 185g",0105,6
25,I,010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",0105,6
26,I,010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",0105,6
27,I,0106,"Animals; live, n.e.c. in chapter 01",01,4
28,I,010611,"Mammals; live, primates",0106,6
29,I,010612,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",0106,6
30,I,010613,"Mammals; live, camels and other camelids (Camelidae)",0106,6
31,I,010614,"Mammals; live, rabbits and hares",0106,6
32,I,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",0106,6
33,I,010620,Reptiles; live (including snakes and turtles),0106,6
34,I,010631,"Birds; live, birds of prey",0106,6
35,I,010632,"Birds; live, Psittaciformes",0106,6
36,I,010633,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",0106,6
37,I,010639,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",0106,6
38,I,010641,"Insects; live, bees",0106,6
39,I,010649,"Insects; live, other than bees",0106,6
40,I,010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",0106,6
41,I,02,Meat and edible meat offal,TOTAL,2
42,I,0201,Meat of bovine animals; fresh or chilled,02,4
43,I,020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",0201,6
44,I,020120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",0201,6
45,I,020130,"Meat; of bovine animals, boneless cuts, fresh or chilled",0201,6
46,I,0202,Meat of bovine animals; frozen,02,4
47,I,020210,"Meat; of bovine animals, carcasses and half-carcasses, frozen",0202,6
48,I,020220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",0202,6
49,I,020230,"Meat; of bovine animals, boneless cuts, frozen",0202,6
50,I,0203,"Meat of swine; fresh, chilled or frozen",02,4
51,I,020311,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",0203,6
52,I,020312,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",0203,6
53,I,020319,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",0203,6
54,I,020321,"Meat; of swine, carcasses and half-carcasses, frozen",0203,6
55,I,020322,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",0203,6
56,I,020329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",0203,6
57,I,0204,"Meat of sheep or goats; fresh, chilled or frozen",02,4
58,I,020410,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",0204,6
59,I,020421,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",0204,6
60,I,020422,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",0204,6
61,I,020423,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled",0204,6
62,I,020430,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",0204,6
63,I,020441,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",0204,6
64,I,020442,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",0204,6
